Название,Год,Страна,Режиссер,Рейтинг,Смотреть онлайн
Связанные насмерть,1988,Канада,Дэвид Кроненберг,7.0,False
Дорогой дневник,1993,Италия,Нанни Моретти,6.6,False
Смерть в Венеции,1971,Италия,Лукино Висконти,7.8,False
Падение западной цивилизации 2: Года металла,1988,США,Пенелопа Сфирис,6.6,False
Охотник на оленей,1978,США,Майкл Чимино,7.8,False
Избавление,1972,США,Джон Бурмен,7.2,False
Отчаянно ищу Сьюзэн,1985,США,Сьюзэн Сейдельман,6.7,False
Объезд,1945,США,Эдгар Дж. Улмер,7.1,False
Девдас,2002,Индия,Санджай Лила Бхансали,8.2,False
Дьявол в голубом платье,1995,США,Карл Франклин,6.6,False
Дьяволы,1971,Великобритания,Кен Рассел,7.8,False
Дьяволицы,1954,Франция,Анри-Жорж Клузо,7.7,False
Дневник сельского священника,1951,Франция,Робер Брессон,7.9,False
Дик Трэйси,1990,США,Уоррен Битти,6.6,False
Крепкий орешек,1988,США,Джон Мактирнан,8.0,False
Врубайся!,2004,США,Онди Тимонер,6.5,False
Забегаловка,1982,США,Барри Левинсон,6.9,False
Грязные танцы,1987,США,Эмиль Ардолино,8.1,False
Грязная дюжина,1967,Великобритания,Роберт Олдрич,7.2,False
Грязный Гарри,1971,США,Дон Сигел,7.5,False
Отпетые мошенники,1988,США,Фрэнк Оз,8.0,False
Скромное обаяние буржуазии,1972,Франция,Луис Бунюэль,7.7,False
"Далекие голоса, застывшие жизни",1988,Великобритания,Теренс Дэвис,6.9,False
Дива,1981,Франция,Жан-Жак Бенекс,7.1,False
Джанго,1966,Италия,Серджио Корбуччи,7.4,True
Делай как надо,1989,США,Спайк Ли,7.2,False
Вышибалы,2004,Германия,Роусон Маршалл Тёрбер,6.3,False
Собачий полдень,1975,США,Сидни Люмет,7.7,False
Парни на скейтах,2001,США,Стэйси Перальта,7.6,False
Догвилль,2003,Дания,Ларс фон Триер,8.0,True
Сладкая жизнь,1960,Италия,Федерико Феллини,7.9,True
Не оглядывайся,1967,США,Д.А. Пеннебейкер,7.4,False
А теперь не смотри,1973,Великобритания,Николас Роуг,6.9,False
Донни Браско,1997,США,Майк Ньюэлл,7.8,False
Донни Дарко,2001,США,Ричард Келли,7.6,True
Двойная страховка,1944,США,Билли Уайлдер,7.9,False
Поллюкс и синий кот,1970,Франция,Серж Дано,-1.0,False
Стукач,1962,Франция,Жан-Пьер Мельвиль,7.6,False
Вне закона,1986,США,Джим Джармуш,7.8,True
Бункер,2004,Германия,Оливер Хиршбигель,7.8,False
"Доктор Стрейнджлав, или Как я научился не волноваться и полюбил атомную бомбу",1963,Великобритания,Стэнли Кубрик,8.0,False
Доктор Живаго,1965,Италия,Дэвид Лин,7.1,False
Дракула,1958,Великобритания,Теренс Фишер,6.8,False
Контракт рисовальщика,1982,Великобритания,Питер Гринуэй,7.4,False
Воображаемая жизнь ангелов,1998,Франция,Эрик Зонка,6.8,False
"Сны, которые можно купить за деньги",1947,США,Ханс Рихтер,6.8,False
Костюмер,1983,Великобритания,Питер Йетс,7.3,False
Аптечный ковбой,1989,США,Гас Ван Сент,7.2,False
Пьяный мастер,1978,Гонконг,Юэнь У-Пин,7.8,False
Утиный суп,1933,США,Лео МакКери,6.8,False
Тупой и еще тупее,1994,США,Питер Фаррелли,7.2,False
К востоку от рая,1955,США,Элиа Казан,7.8,False
Беспечный ездок,1969,США,Деннис Хоппер,7.6,False
Эдвард II,1991,Великобритания,Дерек Джармен,7.1,False
Эдвард руки-ножницы,1990,США,Тим Бёртон,8.0,False
8 с половиной,1963,Италия,Федерико Феллини,8.0,True
Восемь выходят из игры,1988,США,Джон Сейлз,6.7,False
8 миля,2002,США,Кёртис Хэнсон,7.7,False
Выскочка,1999,США,Александр Пэйн,6.6,False
Слон,2003,США,Гас Ван Сент,6.4,True
Человек-слон,1980,США,Дэвид Линч,8.1,False
Елизавета,1998,Великобритания,Шекхар Капур,7.7,False
Элмер Гантри,1960,США,Ричард Брукс,7.2,False
Империя солнца,1987,США,Стивен Спилберг,7.9,False
Конец века,2003,США,Джим Филдс,6.9,False
Бесконечное лето,1966,США,Брюс Браун,7.1,False
Дети райка,1945,Франция,Марсель Карне,7.9,False
Английский пациент,1996,США,Энтони Мингелла,7.9,False
"Каждый за себя, а Бог против всех",1974,Германия (ФРГ),Вернер Херцог,7.7,False
Выход Дракона,1973,Гонконг,Роберт Клауз,7.8,False
Голова-ластик,1977,США,Дэвид Линч,7.3,True
Инопланетянин,1982,США,Стивен Спилберг,7.8,False
Вечное сияние чистого разума,2004,США,Мишель Гондри,8.0,False
Зловещие мертвецы,1981,США,Сэм Рэйми,7.2,False
Изгоняющий дьявола,1973,США,Уильям Фридкин,7.7,False
Глаза без лица,1959,Франция,Жорж Франжю,7.0,False
Знаменитые братья Бейкер,1989,США,Стивен Кловз,7.1,False
Лицо в толпе,1957,США,Элиа Казан,7.4,False
Без лица,1997,США,Джон Ву,7.8,False
Факультет,1998,США,Роберт Родригес,7.3,False
Фаренгейт 9/11,2004,США,Майкл Мур,7.7,False
Поверженный идол,1948,Великобритания,Кэрол Рид,7.4,False
Фанни и Александр,1982,Швеция,Ингмар Бергман,7.9,True
Вдали от рая,2002,США,Тодд Хейнс,6.7,False
"Прощай, моя наложница",1993,Китай,Чэнь Кайгэ,7.7,False
Фарго,1995,Великобритания,Джоэл Коэн,7.6,False
Беспечные времена в «Риджмонт Хай»,1982,США,Эми Хекерлинг,6.7,False
"Быстрее, кошечка! Убей, убей!",1965,США,Расс Майер,6.6,False
Страх съедает душу,1974,Германия (ФРГ),Райнер Вернер Фассбиндер,7.7,False
Выходной день Ферриса Бьюллера,1986,США,Джон Хьюз,7.6,False
Торжество,1998,Дания,Томас Винтерберг,7.4,False
Поле чудес,1989,США,Фил Олден Робинсон,7.2,False
Пятый элемент,1997,Франция,Люк Бессон,8.2,True
Бойцовский клуб,1999,США,Дэвид Финчер,8.7,False
Начались пожары,1943,Великобритания,Хамфри Дженнингс,5.7,False
Рыбка по имени Ванда,1988,Великобритания,Чарльз Крайтон,7.3,False
Кулаки в кармане,1965,Италия,Марко Беллоккьо,7.7,False
Фицкарральдо,1982,Германия (ФРГ),Вернер Херцог,7.9,False
Пять легких пьес,1970,США,Боб Рейфелсон,7.4,False
Плоть,1968,США,Пол Моррисси,5.8,False
Не будите спящую собаку,1996,США,Дэвид О. Расселл,6.4,False
Муха,1986,США,Дэвид Кроненберг,7.3,False
Силы зла,1948,США,Абрахам Полонски,6.6,False
Азарт удачи,1966,США,Билли Уайлдер,7.4,False
Четыре всадника Апокалипсиса,1921,США,Рекс Ингрэм,6.7,False
Четыреста ударов,1959,Франция,Франсуа Трюффо,8.1,False
Франкенштейн,1931,США,Джеймс Уэйл,7.4,False
Уродцы,1932,США,Тод Браунинг,7.8,True
Французский связной,1971,США,Уильям Фридкин,7.6,False
Подставное лицо,1976,США,Мартин Ритт,7.2,False
Беглец,1993,США,Эндрю Дэвис,7.9,False
Забавные игры,1997,Австрия,Михаэль Ханеке,7.3,False
Шатание,1996,Великобритания,Эндрю Коттинг,-1.0,False
Сад Финци-Контини,1970,Италия,Витторио Де Сика,6.7,False
Паровоз Генерал,1926,США,Клайд Брукман,7.9,False
Убрать Картера,1971,Великобритания,Майк Ходжис,7.2,False
Привидение,1990,США,Джерри Цукер,8.2,False
Пёс-призрак: Путь самурая,1999,Франция,Джим Джармуш,7.7,False
Призрак в доспехах,1995,Япония,Мамору Осии,8.0,False
Призрачный мир,2001,Великобритания,Терри Цвигофф,7.1,False
Охотники за привидениями,1984,США,Айвен Райтман,8.0,False
Гигант,1956,США,Джордж Стивенс,7.5,False
Жижи,1958,США,Винсент Миннелли,6.3,False
Гильда,1946,США,Чарльз Видор,7.5,False
Дай мне кров,1970,США,Альберт Мэйслес,7.6,False
Оборотень,2000,Канада,Джон Фоусет,7.0,False
Гладиатор,2000,США,Ридли Скотт,8.6,False
Гленгарри Глен Росс (Американцы),1992,США,Джеймс Фоули,7.4,False
Глория,1980,США,Джон Кассаветис,7.0,False
Посредник,1971,Великобритания,Джозеф Лоузи,7.3,False
Крестный отец,1972,США,Фрэнсис Форд Коппола,8.7,False
Крестный отец 2,1974,США,Фрэнсис Форд Коппола,8.5,False
Голдфингер,1964,Великобритания,Гай Хэмилтон,7.7,False
"Голем, как он пришел в мир",1920,Германия,Пауль Вегенер,7.0,False
Унесённые ветром,1939,США,Виктор Флеминг,8.4,True
Доброй ночи и удачи,2005,Великобритания,Джордж Клуни,7.0,False
"Хороший, плохой, злой",1966,Италия,Серджио Леоне,8.5,False
Славные парни,1990,США,Мартин Скорсезе,8.1,False
Госфорд-парк,2001,Великобритания,Роберт Олтмен,6.8,True
Евангелие от Матфея,1964,Италия,Пьер Паоло Пазолини,7.8,False
Выпускник,1967,США,Майк Николс,7.9,False
Большое путешествие,2004,Франция,Исмаэль Феррухи,6.1,False
Большая жратва,1973,Франция,Марко Феррери,7.5,False
Великая иллюзия,1937,Франция,Жан Ренуар,7.8,False
Гроздья гнева,1940,США,Джон Форд,7.6,True
Могила светлячков,1988,Япония,Исао Такахата,8.2,False
Бриолин,1978,США,Рэндал Клайзер,7.6,False
Великий диктатор,1940,США,Чарльз Чаплин,8.1,False
Большие надежды,1946,Великобритания,Дэвид Лин,7.1,False
Большое надувательство Рок-н-ролла,1980,Великобритания,Джульен Темпл,7.0,False
Алчность,1924,США,Эрих фон Штрогейм,7.7,False
Девушка Грегори,1980,Великобритания,Билл Форсайт,6.0,False
Серые сады,1975,США,Эллен Джиффард,7.3,False
Кидалы,1990,США,Стивен Фрирз,6.6,False
Человек гризли,2005,США,Вернер Херцог,7.2,False
Убийство в Гросс-Пойнте,1997,США,Джордж Армитедж,6.6,False
День сурка,1993,США,Харольд Рэмис,8.1,False
Гуммо,1997,США,Хармони Корин,6.7,False
Без ума от оружия,1949,США,Джозеф Х. Льюис,7.1,False
Парни и куколки,1955,США,Джозеф Лео Манкевич,6.5,False
Ненависть,1995,Франция,Матьё Кассовиц,7.8,True
Муж парикмахерши,1990,Франция,Патрис Леконт,7.2,False
Лак для волос,1988,США,Джон Уотерс,6.7,False
Хэллоуин,1978,США,Джон Карпентер,7.0,False
Счастье,1998,США,Тодд Солондз,7.2,False
Круто сваренные,1992,Гонконг,Джон Ву,7.6,False
The Beatles: Вечер трудного дня,1964,Великобритания,Ричард Лестер,8.0,False
Тернистый путь,1972,Ямайка,Перри Хенцель,6.8,False
Гарольд и Мод,1971,США,Хэл Эшби,7.6,False
Харпер,1966,США,Джек Смайт,7.0,False
Призрак дома на холме,1963,Великобритания,Роберт Уайз,6.9,False
Ведьмы,1922,Швеция,Беньямин Кристенсен,7.5,False
Голова,1968,США,Боб Рейфелсон,5.9,False
Головой о стену,2003,Германия,Фатих Акин,7.6,False
Сердца и мысли,1974,США,Питер Дэвис,6.3,False
Схватка,1995,США,Майкл Манн,8.0,False
Смертельное влечение,1988,США,Майкл Леманн,7.1,False
Врата рая,1980,США,Майкл Чимино,6.4,False
Небесные создания,1994,Новая Зеландия,Питер Джексон,6.9,False
Хедвиг и The Angry Inch,2001,Канада,Джон Кэмерон Митчелл,7.2,False
Родной край: хроники Германии,1984,Германия (ФРГ),Эдгар Райц,6.2,False
Ад — это город,1960,Великобритания,Вэл Гест,6.3,False
Ад раскрылся,1941,США,Г.К. Поттер,7.0,False
Генри: Портрет серийного убийцы,1986,США,Джон МакНотон,6.6,False
Король Генрих V,1944,Великобритания,Лоуренс Оливье,6.8,False
Хестер-стрит,1975,США,Джоан Миклин Сильвер,6.0,False
Скрытое,2004,Франция,Михаэль Ханеке,6.7,False
Ровно в полдень,1952,США,Фред Циннеман,7.4,True
Рука напрокат,1971,США,Питер Фонда,6.4,False
"Хиросима, моя любовь",1959,Франция,Ален Рене,8.0,False
Его девушка Пятница,1939,США,Ховард Хоукс,7.4,True
Оправданная жестокость,2005,США,Дэвид Кроненберг,6.9,False
Святая гора,1973,Мексика,Алехандро Ходоровски,7.8,False
Убийцы медового месяца,1970,США,Леонард Кастл,6.7,False
Надежда и слава,1987,Великобритания,Джон Бурмен,6.9,False
Конокрад,1986,Китай,Тянь Чжуанчжуан,5.9,False
Типа крутые легавые,2007,Великобритания,Эдгар Райт,7.7,False
Часы и времена,1991,США,Кристофер Мюнх,5.2,False
Дом летающих кинжалов,2004,Китай,Чжан Имоу,7.8,False
Обитель радости,2000,Великобритания,Теренс Дэвис,7.2,False
Музей восковых фигур,1953,США,Андре Де Тот,6.9,False
Говардс-Энд,1991,Великобритания,Джеймс Айвори,7.1,False
Хад,1962,США,Мартин Ритт,7.3,False
Икота,2002,Венгрия,Дьёрдь Пальфи,6.6,False
Бильярдист,1961,США,Роберт Россен,7.8,False
"Я знаю, куда я иду!",1945,Великобритания,Майкл Пауэлл,7.1,False
Я гуляла с зомби,1943,США,Жак Турнёр,6.4,False
Солдат в юбке,1949,США,Ховард Хоукс,6.5,False
Ледяной ветер,1997,Франция,Энг Ли,7.0,False
Идиоты,1998,Дания,Ларс фон Триер,7.1,True
Если...,1968,Великобритания,Линдсей Андерсон,7.4,False
Жить,1952,Япония,Акира Куросава,8.1,False
Я никогда не забуду это имя,1967,Великобритания,Майкл Уиннер,5.6,False
В укромном месте,1950,США,Николас Рэй,7.4,False
В компании мужчин,1997,США,Нил Лабут,6.6,False
Полуночная жара,1967,США,Норман Джуисон,7.6,False
Любовное настроение,2000,Гонконг,Вонг Кар-Вай,7.9,True
Во имя отца,1993,Ирландия,Джим Шеридан,7.8,False
Империя чувств,1976,Япония,Нагиса Осима,6.8,False
В этом мире,2002,Великобритания,Майкл Уинтерботтом,6.5,False
День независимости,1996,США,Роланд Эммерих,7.6,False
